"sector","provincia","anio","vab","es_extractivo","region","participacion","variacion_pct"
"Servicios de seguros","Buenos Aires",2004,782.2240549736791,FALSE,"Pampeana",0.18979877619339833,NA
"Servicios auxiliares a la actividad financiera","Buenos Aires",2004,298.1600943372629,FALSE,"Pampeana",0.07234553917780615,NA
"Propiedad de la vivienda*","Buenos Aires",2004,10938.538155776201,FALSE,"Pampeana",2.6541259401450827,NA
"Resto","Buenos Aires",2004,5302.569483703895,FALSE,"Pampeana",1.2866149951388595,NA
"Administración pública y defensa; Planes de seguridad social de afiliación obligatoria","Buenos Aires",2004,5581.862289053324,FALSE,"Pampeana",1.3543825769690123,NA
"Enseñanza pública","Buenos Aires",2004,4027.25849671523,FALSE,"Pampeana",0.9771736489447844,NA
"Enseñanza privada","Buenos Aires",2004,1407.6966599851003,FALSE,"Pampeana",0.34156339429589216,NA
"Salud pública","Buenos Aires",2004,1021.5922613213434,FALSE,"Pampeana",0.24787905681826894,NA
"Salud privada","Buenos Aires",2004,2261.3318997624074,FALSE,"Pampeana",0.5486893741160126,NA
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares","Buenos Aires",2004,405.1967536384633,FALSE,"Pampeana",0.09831690481662066,NA
"Asociaciones","Buenos Aires",2004,951.4131976286452,FALSE,"Pampeana",0.23085081494999649,NA
"Servicios culturales y deportivos. Otras actividades","Buenos Aires",2004,2364.1085523207707,FALSE,"Pampeana",0.5736270920918268,NA
"Servicio doméstico*","Buenos Aires",2004,951.2646558224665,FALSE,"Pampeana",0.23081477277915424,NA
"Agricultura, ganaderia, caza y servicios conexos","Catamarca",2004,193.23705992695244,FALSE,"NOA",0.04688702329741068,NA
"Silvicultura, extracción de madera y servicios conexos","Catamarca",2004,0,FALSE,"NOA",0,NA
"Pesca","Catamarca",2004,0,FALSE,"NOA",0,NA
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.","Catamarca",2004,0,TRUE,"NOA",0,NA
"Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.","Catamarca",2004,1669.4692593500104,TRUE,"NOA",0.4050798748803412,NA
"Elaboración de productos alimenticios y bebidas","Catamarca",2004,115.7724862830509,FALSE,"NOA",0.028091025932626728,NA
"Elaboración de productos de tabaco","Catamarca",2004,0,FALSE,"NOA",0,NA
"Fabricación de productos textiles","Catamarca",2004,62.964199880189724,FALSE,"NOA",0.015277627944666885,NA
"Fabricación de prendas de vestir; terminación y teñido de pieles","Catamarca",2004,21.44409722068143,FALSE,"NOA",0.005203193871600564,NA
